phageName,phageNCBIName,test/training,phageVirusgroup,hostSuperkingdom,hostPhylum,hostClass,hostOrder,hostFamily,hostGenus,hostSpecies
Enterobacteria phage RB33,KM607001,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage RB27,KM607000,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage RB55,KM607002,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Salmonella phage Vi01,FQ312032,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage Vi06,FR667955,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage phiX174,AF176028,test,Microviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage phiX174,AF176033,test,Microviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage phiX174,AF176029,test,Microviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage phiX174,AF176032,test,Microviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage phiX174,FJ849058,test,Microviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Salmonella phage ST64B,AY055382,test,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage UAB_Phi78,GU595417,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage SS3e,AY730274,test,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Enterobacteria phage GEC-3S,HE978309,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Salmonella phage 7-11,HM997019,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Pseudomonas phage phiPSA2,KJ507099,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
Lactococcus phage CaseusJM1,KC522412,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
Lactococcus phage phiLC3,AF242738,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
Lactobacillus phage c5,EU340421,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Xanthomonas phage phiL7,EU717894,test,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
Aeromonas phage phiAS7,JN651747,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
Pseudomonas phage PaBG,KF147891,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage LUZ19,AM910651,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage MPK7,JX501340,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Pseudomonas phage MP1412,JX131330,test,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Salmonella phage epsilon34,EU570103,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Salmonella phage c341,FJ000341,test,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica
Pectobacterium phage PM1,KF534715,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium,Pectobacterium carotovorum
Pseudomonas phage PaP1,HQ832595,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Bacillus phage Gamma isolate d'Herelle,DQ289556,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
Bacillus phage Gamma,DQ222853,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
Bacillus phage WBeta,DQ289555,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
Lactobacillus phage JCL1032,EU409559,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Lactobacillus phage Ldl1,KM514685,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Bacillus phage Gamma,DQ222855,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Bacillus phage Cherry,DQ222851,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Bacillus phage pGIL01,AJ536073,test,Tectiviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
Brucella phage Tb,JN939331,test,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus
Brucella phage Pr,JN939332,test,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella melitensis
Burkholderia phage phi1026b,AY453853,test,Siphoviridae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei
Burkholderia phage BEK,CP008753,test,Myoviridae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei
Enterobacteria phage 4MG,KF550303,test,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Pseudomonas phage MP22,DQ873690,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
Shigella phage POCJ13,KJ603229,test,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella flexneri
Aggregatibacter phage S1249,GQ866233,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans
Alteromonas phage vB_AmaP_AD45-P4,KF005319,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
Alteromonas phage vB_AmaP_AD45-P2,KF005320,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
Alteromonas phage vB_AmaP_AD45-P1,KF005317,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
Alteromonas phage vB_AmaP_AD45-P3,KF005318,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii
Bacillus phage phiNIT1,AP013029,Training,0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
Bacillus phage PM1,AB711120,test,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
Bacillus phage phIS3501,JQ062992,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
Burkholderia phage BcepNY3,EF602154,Training,Myoviridae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia
Burkholderia phage JG068,KC853746,test,Podoviridae,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia
Pelagibacter phage HTVC008M,KC465899,Training,Myoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
Pelagibacter phage HTVC010P,KC465898,Training,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
Pelagibacter phage HTVC011P,KC465900,Training,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
Pelagibacter phage HTVC019P,KC465901,Training,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
Puniceispirillum phage HMO-2011,GU557055,Training,Podoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,,,Candidatus Puniceispirillum,Candidatus Puniceispirillum marinum
Caulobacter phage Cr30,KF301602,Training,Myoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides
Caulobacter phage phiCbK,JX163858,Training,Siphoviridae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides
Cellulophaga phage phi13:2,KC821633,Training,Podoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi13:1,KC821625,Training,Siphoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi18:4,KC821628,Training,Microviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi18:3,KC821620,Training,Podoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi18:1,KC821619,Training,Siphoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi18:2,KC821627,Training,Siphoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi4:1,KC821632,Training,Podoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi38:2,KC821629,Training,Myoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Cellulophaga phage phi38:1,KC821614,Training,Podoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga baltica
Chlamydia phage CPAR39,AE002163,Training,Microviridae,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae
Clavibacter phage CMP1,GQ241246,test,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
Clostridium phage phiSM101,CP000315,Training,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens
Colwellia phage 9A,HQ317390,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea
Croceibacter phage P2559S,JQ867099,Training,Siphoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
Croceibacter phage P2559Y,KC688701,Training,Siphoviridae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
Cronobacter phage vB_CskP_GAP227,KC107834,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,Cronobacter muytjensii
Enterococcus phage EF62phi,CP002495,Training,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
Escherichia phage Lw1,KC801932,Training,Myoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage DE3,EU078592,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Escherichia phage phiEB49,JF770475,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Enterobacteria phage N4,EF056009,Training,Podoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Escherichia phage HK75,HM173637,Training,Siphoviridae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli
Halovirus PH1,KC252997,Training,0,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,Haloarcula hispanica
Haloarcula hispanica pleomorphic virus 2,KF056323,Training,0,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula,Haloarcula hispanica
Helicobacter phage phiHP33,JF734911,Training,Siphoviridae,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
Lactobacillus phage A2,AJ251789,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei
Lactobacillus phage phiLdb,KF188410,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Lactococcus lactis phage p2,GQ979703,Training,Siphoviridae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
Mycobacterium phage RedRock,GU339467,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Hamulus,KF024723,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Trouble,KF024724,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Whirlwind,KF024725,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Sarfire,KF024726,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Reprobate,KF024727,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Muddy,KF024728,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage KayaCho,KF024729,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Dylan,KF024730,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Crossroads,KF024731,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Malithi,KP027200,Training,0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage LRRHood,GQ303262,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage ET08,GQ303260,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Dandelion,JN412588,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage LinStu,JN412592,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Pleione,JN624850,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage MoMoMixon,JN699626,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Nappy,JN699627,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Astraea,KC691257,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Gizmo,KC748968,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage ArcherS7,KC748970,Training,Myoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Colbert,GQ303259,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage HH92,KJ538722,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage island3,HM152765,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Angel,FJ973624,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Peaches,GQ303263,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage MeeZee,JN243856,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Sabertooth,JX307703,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage TiroTheta9,JN561150,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Flux,JQ809701,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Dhanush,KC661271,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Medusa,KF024733,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage BellusTerra,KF841475,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Eagle,HM152766,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Audrey,KJ194581,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Akoma,JN699006,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Nova,JN699014,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Breezona,KC691254,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage ShiVal,KC576784,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
Mycobacterium phage Zapner,KJ567041,Training,Siphoviridae,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis
